S.N.,Date,Traded Companies,Ticker,No. Of Transaction,High,Low,Close,Traded Shares,Amount,Open,Difference Rs.
394,6/16/2013,Nepal Life Insurance Co. Ltd.,NLIC,5,1320,1308,1317,2077,2719516,1334,"-17.00 
                                             
"
395,6/17/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1319,1308,1319,1627,2128666,1317,"2.00 
                                            
"
396,6/18/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,1308,1300,1305,1320,1718050,1319,"-14.00 
                                             
"
397,6/19/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,1318,1305,1318,1422,1862906,1305,"13.00 
                                            
"
398,6/20/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,1320,1318,1318,1220,1608160,1318,"0.00 
                                            
"
399,6/23/2013,Nepal Life Insurance Co. Ltd.,NLIC,5,1305,1290,1305,295,382590,1318,"-13.00 
                                             
"
400,6/24/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1295,1282,1295,75,96345,1305,"-10.00 
                                             
"
401,6/25/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1282,1281,1282,45,57670,1295,"-13.00 
                                             
"
402,6/26/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1294,1280,1294,250,322800,1282,"12.00 
                                            
"
403,6/27/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1291,1290,1291,230,296750,1294,"-3.00 
                                             
"
404,6/30/2013,Nepal Life Insurance Co. Ltd.,NLIC,3,1290,1280,1290,3085,3961875,1291,"-1.00 
                                             
"
405,7/1/2013,Nepal Life Insurance Co. Ltd.,NLIC,5,1299,1290,1291,258,333186,1290,"1.00 
                                            
"
406,7/2/2013,Nepal Life Insurance Co. Ltd.,NLIC,3,1300,1299,1299,1266,1644584,1291,"8.00 
                                            
"
407,7/3/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,1313,1300,1300,562,734500,1299,"1.00 
                                            
"
408,7/4/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,1305,1290,1300,1335,1740055,1300,"0.00 
                                            
"
409,7/7/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,1326,1300,1326,1922,2503949,1300,"26.00 
                                            
"
410,7/8/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1325,1310,1325,401,530875,1326,"-1.00 
                                             
"
411,7/9/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1340,1340,1340,165,221100,1325,"15.00 
                                            
"
412,7/10/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,1385,1360,1385,910,1240200,1340,"45.00 
                                            
"
413,7/11/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1385,1380,1380,105,145350,1385,"-5.00 
                                             
"
414,7/15/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,1425,1400,1425,250,351125,1380,"45.00 
                                            
"
415,7/16/2013,Nepal Life Insurance Co. Ltd.,NLIC,9,1450,1430,1432,1258,1803189,1425,"7.00 
                                            
"
416,7/17/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,1480,1450,1480,929,1367178,1432,"48.00 
                                            
"
417,7/18/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,1534,1474,1534,965,1430105,1480,"54.00 
                                            
"
418,7/21/2013,Nepal Life Insurance Co. Ltd.,NLIC,14,1600,1564,1599,1249,1989520,1534,"65.00 
                                            
"
419,7/22/2013,Nepal Life Insurance Co. Ltd.,NLIC,20,1656,1610,1620,2441,3951225,1599,"21.00 
                                            
"
420,7/23/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,1645,1615,1641,990,1607800,1620,"21.00 
                                            
"
421,7/24/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,1660,1650,1652,1086,1798765,1641,"11.00 
                                            
"
422,7/25/2013,Nepal Life Insurance Co. Ltd.,NLIC,6,1700,1652,1652,265,441300,1652,"0.00 
                                            
"
423,7/28/2013,Nepal Life Insurance Co. Ltd.,NLIC,24,1735,1685,1735,2247,3852320,1652,"83.00 
                                            
"
424,7/29/2013,Nepal Life Insurance Co. Ltd.,NLIC,11,1750,1720,1735,2029,3526155,1735,"0.00 
                                            
"
425,7/30/2013,Nepal Life Insurance Co. Ltd.,NLIC,17,1780,1710,1780,2798,4826225,1735,"45.00 
                                            
"
426,7/31/2013,Nepal Life Insurance Co. Ltd.,NLIC,6,1855,1750,1818,1304,2296282,1780,"38.00 
                                            
"
427,8/1/2013,Nepal Life Insurance Co. Ltd.,NLIC,22,1854,1770,1770,4058,7324116,1818,"-48.00 
                                             
"
428,8/4/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,1780,1740,1740,3745,6548734,1770,"-30.00 
                                             
"
429,8/5/2013,Nepal Life Insurance Co. Ltd.,NLIC,13,1706,1662,1662,2981,5002562,1740,"-78.00 
                                             
"
430,8/6/2013,Nepal Life Insurance Co. Ltd.,NLIC,29,1701,1600,1701,4910,8100342,1662,"39.00 
                                            
"
431,8/7/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,1725,1700,1725,2817,4799035,1701,"24.00 
                                            
"
432,8/8/2013,Nepal Life Insurance Co. Ltd.,NLIC,18,1759,1725,1759,6265,10821418,1725,"34.00 
                                            
"
433,8/11/2013,Nepal Life Insurance Co. Ltd.,NLIC,14,1769,1745,1769,1438,2529055,1759,"10.00 
                                            
"
434,8/12/2013,Nepal Life Insurance Co. Ltd.,NLIC,16,1856,1769,1856,13345,23772957,1769,"87.00 
                                            
"
435,8/13/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,1880,1850,1860,2096,3888183,1856,"4.00 
                                            
"
436,8/14/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,1860,1850,1850,1253,2329435,1860,"-10.00 
                                             
"
437,8/15/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,1865,1849,1860,3510,6517087,1850,"10.00 
                                            
"
438,8/18/2013,Nepal Life Insurance Co. Ltd.,NLIC,17,1860,1840,1860,2110,3905190,1860,"0.00 
                                            
"
439,8/19/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,1836,1800,1820,1208,2177750,1860,"-40.00 
                                             
"
440,8/20/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,1840,1790,1840,2894,5230331,1820,"20.00 
                                            
"
441,8/25/2013,Nepal Life Insurance Co. Ltd.,NLIC,23,1829,1770,1829,8826,15827752,1840,"-11.00 
                                             
"
442,8/26/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,1815,1766,1810,1386,2466463,1829,"-19.00 
                                             
"
443,8/27/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,1830,1815,1815,1044,1900950,1810,"5.00 
                                            
"
444,8/29/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,1820,1785,1820,1397,2512741,1815,"5.00 
                                            
"
445,9/1/2013,Nepal Life Insurance Co. Ltd.,NLIC,24,1856,1802,1856,2840,5165469,1820,"36.00 
                                            
"
446,9/2/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,1845,1826,1843,2415,4437001,1856,"-13.00 
                                             
"
447,9/3/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,1849,1830,1848,1185,2173740,1843,"5.00 
                                            
"
448,9/4/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,1845,1815,1830,2681,4916730,1848,"-18.00 
                                             
"
449,9/5/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,1810,1800,1810,1252,2255120,1830,"-20.00 
                                             
"
450,9/8/2013,Nepal Life Insurance Co. Ltd.,NLIC,3,1820,1800,1810,702,1265370,1810,"0.00 
                                            
"
451,9/9/2013,Nepal Life Insurance Co. Ltd.,NLIC,18,1865,1810,1865,1545,2838787,1810,"55.00 
                                            
"
452,9/10/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,1860,1828,1860,645,1182260,1865,"-5.00 
                                             
"
453,9/11/2013,Nepal Life Insurance Co. Ltd.,NLIC,16,1897,1801,1897,3451,6404088,1860,"37.00 
                                            
"
454,9/12/2013,Nepal Life Insurance Co. Ltd.,NLIC,9,1930,1892,1929,1047,1996145,1897,"32.00 
                                            
"
455,9/15/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,2010,1929,2010,1480,2880630,1929,"81.00 
                                            
"
456,9/16/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,2100,1988,2100,2995,6118668,2010,"90.00 
                                            
"
457,9/17/2013,Nepal Life Insurance Co. Ltd.,NLIC,24,2245,2080,2200,4191,9056275,2100,"100.00 
                                            
"
458,9/19/2013,Nepal Life Insurance Co. Ltd.,NLIC,14,2175,2060,2101,1504,3176070,2200,"-99.00 
                                             
"
459,9/22/2013,Nepal Life Insurance Co. Ltd.,NLIC,14,2100,2010,2010,1272,2593519,2101,"-91.00 
                                             
"
460,9/23/2013,Nepal Life Insurance Co. Ltd.,NLIC,13,2010,1931,1990,1272,2490227,2010,"-20.00 
                                             
"
461,9/24/2013,Nepal Life Insurance Co. Ltd.,NLIC,13,2023,1960,2023,1870,3726892,1990,"33.00 
                                            
"
462,9/25/2013,Nepal Life Insurance Co. Ltd.,NLIC,17,2028,1983,2028,3070,6156390,2023,"5.00 
                                            
"
463,9/26/2013,Nepal Life Insurance Co. Ltd.,NLIC,24,2054,1980,2039,1957,3950801,2028,"11.00 
                                            
"
464,9/29/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,2060,2019,2060,560,1141090,2039,"21.00 
                                            
"
465,9/30/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,2100,2058,2080,1590,3298055,2060,"20.00 
                                            
"
466,10/1/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,2095,2080,2095,293,612030,2080,"15.00 
                                            
"
467,10/2/2013,Nepal Life Insurance Co. Ltd.,NLIC,16,2135,2100,2102,4323,9101842,2095,"7.00 
                                            
"
468,10/3/2013,Nepal Life Insurance Co. Ltd.,NLIC,15,2100,2050,2075,1519,3141474,2102,"-27.00 
                                             
"
469,10/6/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,2109,2071,2100,907,1904501,2075,"25.00 
                                            
"
470,10/7/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,2129,2095,2106,1609,3399666,2100,"6.00 
                                            
"
471,10/8/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,2150,2140,2150,639,1369060,2106,"44.00 
                                            
"
472,10/9/2013,Nepal Life Insurance Co. Ltd.,NLIC,9,2170,2080,2170,10451,21753865,2150,"20.00 
                                            
"
473,10/10/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,2175,2170,2170,1054,2288185,2170,"0.00 
                                            
"
474,10/20/2013,Nepal Life Insurance Co. Ltd.,NLIC,5,2210,2200,2200,275,605250,2170,"30.00 
                                            
"
475,10/21/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,2222,2200,2201,714,1577763,2200,"1.00 
                                            
"
476,10/22/2013,Nepal Life Insurance Co. Ltd.,NLIC,17,2239,2180,2239,1034,2303385,2201,"38.00 
                                            
"
477,10/23/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,2249,2201,2201,1318,2948042,2239,"-38.00 
                                             
"
478,10/24/2013,Nepal Life Insurance Co. Ltd.,NLIC,15,2225,2157,2225,7321,15821079,2201,"24.00 
                                            
"
479,10/27/2013,Nepal Life Insurance Co. Ltd.,NLIC,2,2210,2210,2210,76,167960,2225,"-15.00 
                                             
"
480,10/28/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,2210,2200,2205,498,1098680,2210,"-5.00 
                                             
"
481,10/29/2013,Nepal Life Insurance Co. Ltd.,NLIC,8,2212,2200,2210,414,912230,2205,"5.00 
                                            
"
482,10/30/2013,Nepal Life Insurance Co. Ltd.,NLIC,9,2220,2210,2220,627,1389710,2210,"10.00 
                                            
"
483,10/31/2013,Nepal Life Insurance Co. Ltd.,NLIC,16,2300,2220,2300,1189,2663289,2220,"80.00 
                                            
"
484,11/6/2013,Nepal Life Insurance Co. Ltd.,NLIC,4,2280,2255,2280,341,771225,2300,"-20.00 
                                             
"
485,11/7/2013,Nepal Life Insurance Co. Ltd.,NLIC,13,2300,2266,2300,1599,3652158,2280,"20.00 
                                            
"
486,11/10/2013,Nepal Life Insurance Co. Ltd.,NLIC,3,2308,2300,2308,217,499420,2300,"8.00 
                                            
"
487,11/11/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,2370,2325,2370,471,1103450,2308,"62.00 
                                            
"
488,11/12/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,2400,2320,2400,3914,9119590,2370,"30.00 
                                            
"
489,11/13/2013,Nepal Life Insurance Co. Ltd.,NLIC,21,2479,2405,2479,3432,8343634,2400,"79.00 
                                            
"
490,11/14/2013,Nepal Life Insurance Co. Ltd.,NLIC,16,2500,2450,2450,1228,3026055,2479,"-29.00 
                                             
"
491,11/21/2013,Nepal Life Insurance Co. Ltd.,NLIC,13,2695,2499,2695,638,1706790,2450,"245.00 
                                            
"
492,11/24/2013,Nepal Life Insurance Co. Ltd.,NLIC,17,2964,2748,2964,665,1942206,2695,"269.00 
                                            
"
493,11/25/2013,Nepal Life Insurance Co. Ltd.,NLIC,17,3060,2895,2940,2152,6404040,2964,"-24.00 
                                             
"
494,11/26/2013,Nepal Life Insurance Co. Ltd.,NLIC,5,2958,2900,2930,142,416283,2940,"-10.00 
                                             
"
495,11/27/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,2930,2865,2865,625,1803745,2930,"-65.00 
                                             
"
496,11/28/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,2922,2865,2865,731,2105580,2865,"0.00 
                                            
"
497,12/1/2013,Nepal Life Insurance Co. Ltd.,NLIC,11,2900,2879,2895,937,2699907,2865,"30.00 
                                            
"
498,12/2/2013,Nepal Life Insurance Co. Ltd.,NLIC,5,2904,2860,2860,413,1193307,2895,"-35.00 
                                             
"
499,12/3/2013,Nepal Life Insurance Co. Ltd.,NLIC,9,2915,2890,2900,400,1162155,2860,"40.00 
                                            
"
500,12/4/2013,Nepal Life Insurance Co. Ltd.,NLIC,15,2975,2900,2956,1360,4012232,2900,"56.00 
                                            
"
501,12/5/2013,Nepal Life Insurance Co. Ltd.,NLIC,18,3060,2950,3005,1706,5130444,2956,"49.00 
                                            
"
502,12/8/2013,Nepal Life Insurance Co. Ltd.,NLIC,9,3050,2990,3001,1244,3762358,3005,"-4.00 
                                             
"
503,12/9/2013,Nepal Life Insurance Co. Ltd.,NLIC,12,3005,2930,2930,896,2676965,3001,"-71.00 
                                             
"
504,12/10/2013,Nepal Life Insurance Co. Ltd.,NLIC,20,2958,2815,2958,2626,7552372,2930,"28.00 
                                            
"
505,12/11/2013,Nepal Life Insurance Co. Ltd.,NLIC,23,3020,2960,3020,5581,16713194,2958,"62.00 
                                            
"
506,12/12/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,3086,3030,3065,2131,6504044,3020,"45.00 
                                            
"
507,12/15/2013,Nepal Life Insurance Co. Ltd.,NLIC,18,3111,3040,3090,3913,11963207,3065,"25.00 
                                            
"
508,12/16/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,3130,3060,3130,765,2375930,3090,"40.00 
                                            
"
509,12/18/2013,Nepal Life Insurance Co. Ltd.,NLIC,10,3150,3130,3150,550,1729500,3130,"20.00 
                                            
"
510,12/19/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,3350,3140,3280,3960,12640750,3150,"130.00 
                                            
"
511,12/22/2013,Nepal Life Insurance Co. Ltd.,NLIC,23,3400,3234,3350,2186,7344322,3280,"70.00 
                                            
"
512,12/23/2013,Nepal Life Insurance Co. Ltd.,NLIC,28,3550,3350,3510,1830,6372622,3350,"160.00 
                                            
"
513,12/24/2013,Nepal Life Insurance Co. Ltd.,NLIC,15,3640,3580,3640,2223,8013661,3510,"130.00 
                                            
"
514,12/26/2013,Nepal Life Insurance Co. Ltd.,NLIC,7,3700,3626,3650,477,1752180,3640,"10.00 
                                            
"
515,12/29/2013,Nepal Life Insurance Co. Ltd.,NLIC,18,3600,3500,3506,2362,8315730,3650,"-144.00 
                                             
"
516,12/31/2013,Nepal Life Insurance Co. Ltd.,NLIC,19,3576,3450,3508,1797,6299151,3506,"2.00 
                                            
"
517,1/1/2014,Nepal Life Insurance Co. Ltd.,NLIC,16,3490,3301,3340,760,2565783,3508,"-168.00 
                                             
"
518,1/2/2014,Nepal Life Insurance Co. Ltd.,NLIC,16,3450,3240,3450,966,3209422,3340,"110.00 
                                            
"
519,1/5/2014,Nepal Life Insurance Co. Ltd.,NLIC,7,3425,3381,3420,810,2763192,3450,"-30.00 
                                             
"
520,1/6/2014,Nepal Life Insurance Co. Ltd.,NLIC,6,3360,3314,3330,288,959475,3420,"-90.00 
                                             
"
521,1/7/2014,Nepal Life Insurance Co. Ltd.,NLIC,31,3450,3300,3396,1267,4315245,3330,"66.00 
                                            
"
522,1/8/2014,Nepal Life Insurance Co. Ltd.,NLIC,29,3519,3304,3450,4737,16406325,3396,"54.00 
                                            
"
523,1/9/2014,Nepal Life Insurance Co. Ltd.,NLIC,35,3570,3420,3500,7831,27129270,3450,"50.00 
                                            
"
524,1/12/2014,Nepal Life Insurance Co. Ltd.,NLIC,34,3570,3450,3500,3283,11368379,3500,"0.00 
                                            
"
525,1/13/2014,Nepal Life Insurance Co. Ltd.,NLIC,24,3590,3450,3525,4216,14700925,3500,"25.00 
                                            
"
526,1/14/2014,Nepal Life Insurance Co. Ltd.,NLIC,25,3575,3520,3550,5243,18493170,3525,"25.00 
                                            
"
527,1/16/2014,Nepal Life Insurance Co. Ltd.,NLIC,36,3610,3500,3590,6339,22459150,3550,"40.00 
                                            
"
528,1/19/2014,Nepal Life Insurance Co. Ltd.,NLIC,33,3600,3560,3561,7495,26741825,3590,"-29.00 
                                             
"
529,1/20/2014,Nepal Life Insurance Co. Ltd.,NLIC,17,3610,3570,3590,1207,4335180,3561,"29.00 
                                            
"
530,1/21/2014,Nepal Life Insurance Co. Ltd.,NLIC,18,3600,3555,3590,6746,24156555,3590,"0.00 
                                            
"
531,1/22/2014,Nepal Life Insurance Co. Ltd.,NLIC,20,3661,3570,3630,6815,24558390,3590,"40.00 
                                            
"
532,1/23/2014,Nepal Life Insurance Co. Ltd.,NLIC,24,3680,3580,3600,6146,22332674,3630,"-30.00 
                                             
"
533,1/26/2014,Nepal Life Insurance Co. Ltd.,NLIC,16,3700,3640,3685,5836,21412278,3600,"85.00 
                                            
"
534,1/27/2014,Nepal Life Insurance Co. Ltd.,NLIC,11,3745,3700,3700,5185,19188130,3685,"15.00 
                                            
"
535,1/28/2014,Nepal Life Insurance Co. Ltd.,NLIC,22,3720,3650,3700,4186,15487330,3700,"0.00 
                                            
"
536,1/29/2014,Nepal Life Insurance Co. Ltd.,NLIC,18,3700,3700,3700,4776,17671200,3700,"0.00 
                                            
"
537,2/2/2014,Nepal Life Insurance Co. Ltd.,NLIC,29,3750,3660,3700,9488,35089470,3700,"0.00 
                                            
"
538,2/3/2014,Nepal Life Insurance Co. Ltd.,NLIC,11,3725,3700,3725,1296,4803295,3700,"25.00 
                                            
"
539,2/4/2014,Nepal Life Insurance Co. Ltd.,NLIC,9,3710,3690,3690,767,2835590,3725,"-35.00 
                                             
"
540,2/5/2014,Nepal Life Insurance Co. Ltd.,NLIC,12,3740,3682,3700,836,3089185,3690,"10.00 
                                            
"
541,2/6/2014,Nepal Life Insurance Co. Ltd.,NLIC,8,3750,3690,3700,5653,20911850,3700,"0.00 
                                            
"
542,2/9/2014,Nepal Life Insurance Co. Ltd.,NLIC,21,3810,3700,3810,3140,11755950,3700,"110.00 
                                            
"
543,2/10/2014,Nepal Life Insurance Co. Ltd.,NLIC,19,3963,3886,3900,4135,16142660,3810,"90.00 
                                            
"
544,2/11/2014,Nepal Life Insurance Co. Ltd.,NLIC,12,3900,3800,3900,1602,6103925,3900,"0.00 
                                            
"
545,2/12/2014,Nepal Life Insurance Co. Ltd.,NLIC,21,4050,3900,4050,2898,11624232,3900,"150.00 
                                            
"
546,2/13/2014,Nepal Life Insurance Co. Ltd.,NLIC,14,4130,3970,4100,1256,5044635,4050,"50.00 
                                            
"
547,2/16/2014,Nepal Life Insurance Co. Ltd.,NLIC,17,4145,4051,4120,1368,5614344,4100,"20.00 
                                            
"
548,2/17/2014,Nepal Life Insurance Co. Ltd.,NLIC,19,4293,4102,4250,2474,10383551,4120,"130.00 
                                            
"
549,2/18/2014,Nepal Life Insurance Co. Ltd.,NLIC,18,4401,4290,4381,2191,9587130,4250,"131.00 
                                            
"
550,2/20/2014,Nepal Life Insurance Co. Ltd.,NLIC,31,4570,4360,4527,10674,47779174,4381,"146.00 
                                            
"
551,2/23/2014,Nepal Life Insurance Co. Ltd.,NLIC,23,4920,4600,4875,1041,5030577,4527,"348.00 
                                            
"
552,2/24/2014,Nepal Life Insurance Co. Ltd.,NLIC,19,4925,4458,4460,5972,28016821,4875,"-415.00 
                                             
"
553,2/25/2014,Nepal Life Insurance Co. Ltd.,NLIC,24,4499,4322,4495,6185,26999584,4460,"35.00 
                                            
"
554,2/26/2014,Nepal Life Insurance Co. Ltd.,NLIC,22,4550,4460,4520,6352,28458500,4495,"25.00 
                                            
"
555,3/3/2014,Nepal Life Insurance Co. Ltd.,NLIC,19,4550,4498,4498,5733,26019734,4520,"-22.00 
                                             
"
556,3/4/2014,Nepal Life Insurance Co. Ltd.,NLIC,15,4475,4430,4430,2220,9871057,4498,"-68.00 
                                             
"
557,3/5/2014,Nepal Life Insurance Co. Ltd.,NLIC,13,4480,4410,4480,2012,8929115,4430,"50.00 
                                            
"
558,3/6/2014,Nepal Life Insurance Co. Ltd.,NLIC,25,4600,4500,4600,2448,11094844,4480,"120.00 
                                            
"
559,3/9/2014,Nepal Life Insurance Co. Ltd.,NLIC,9,4600,4540,4592,1419,6511180,4600,"-8.00 
                                             
"
560,3/10/2014,Nepal Life Insurance Co. Ltd.,NLIC,27,4650,4525,4625,2971,13585033,4592,"33.00 
                                            
"
561,3/11/2014,Nepal Life Insurance Co. Ltd.,NLIC,18,4575,4501,4525,4059,18447785,4625,"-100.00 
                                             
"
562,3/12/2014,Nepal Life Insurance Co. Ltd.,NLIC,19,4600,4501,4525,3930,17962799,4525,"0.00 
                                            
"
563,3/13/2014,Nepal Life Insurance Co. Ltd.,NLIC,23,4693,4525,4693,6151,27919671,4525,"168.00 
                                            
"
564,3/17/2014,Nepal Life Insurance Co. Ltd.,NLIC,26,4650,4600,4600,6751,31207296,4693,"-93.00 
                                             
"
565,3/18/2014,Nepal Life Insurance Co. Ltd.,NLIC,17,4625,4490,4550,5276,24335235,4600,"-50.00 
                                             
"
566,3/19/2014,Nepal Life Insurance Co. Ltd.,NLIC,28,4560,4530,4540,5714,25996492,4550,"-10.00 
                                             
"
567,3/20/2014,Nepal Life Insurance Co. Ltd.,NLIC,18,4600,4530,4600,6502,29808025,4540,"60.00 
                                            
"
568,3/23/2014,Nepal Life Insurance Co. Ltd.,NLIC,21,4600,4508,4590,6201,28449000,4600,"-10.00 
                                             
"
569,3/24/2014,Nepal Life Insurance Co. Ltd.,NLIC,36,4730,4600,4600,11240,51762006,4590,"10.00 
                                            
"
570,3/25/2014,Nepal Life Insurance Co. Ltd.,NLIC,18,4660,4600,4650,7430,34242875,4600,"50.00 
                                            
"
571,3/26/2014,Nepal Life Insurance Co. Ltd.,NLIC,22,4701,4580,4700,9154,42691183,4650,"50.00 
                                            
"
572,3/27/2014,Nepal Life Insurance Co. Ltd.,NLIC,23,4800,4650,4800,7820,36594015,4700,"100.00 
                                            
"
573,3/31/2014,Nepal Life Insurance Co. Ltd.,NLIC,38,5100,4800,5099,7148,34807755,4800,"299.00 
                                            
"
574,4/1/2014,Nepal Life Insurance Co. Ltd.,NLIC,27,5109,5000,5055,5411,27466054,5099,"-44.00 
                                             
"
575,4/2/2014,Nepal Life Insurance Co. Ltd.,NLIC,24,5070,5000,5050,9493,47974185,5055,"-5.00 
                                             
"
576,4/3/2014,Nepal Life Insurance Co. Ltd.,NLIC,22,5020,4970,5020,1290,6451530,5050,"-30.00 
                                             
"
577,4/6/2014,Nepal Life Insurance Co. Ltd.,NLIC,47,5300,5050,5210,10885,55698648,5020,"190.00 
                                            
"
578,4/7/2014,Nepal Life Insurance Co. Ltd.,NLIC,88,5402,5150,5200,6329,33065416,5210,"-10.00 
                                             
"
579,4/9/2014,Nepal Life Insurance Co. Ltd.,NLIC,60,5225,5170,5184,5537,28727829,5200,"-16.00 
                                             
"
580,4/10/2014,Nepal Life Insurance Co. Ltd.,NLIC,33,5200,5130,5151,2293,11861846,5184,"-33.00 
                                             
"
581,4/13/2014,Nepal Life Insurance Co. Ltd.,NLIC,36,5254,5101,5174,3553,18360409,5151,"23.00 
                                            
"
582,4/15/2014,Nepal Life Insurance Co. Ltd.,NLIC,27,5200,5151,5200,3325,17204344,5174,"26.00 
                                            
"
583,4/16/2014,Nepal Life Insurance Co. Ltd.,NLIC,13,5200,5150,5150,922,4765936,5200,"-50.00 
                                             
"
584,4/17/2014,Nepal Life Insurance Co. Ltd.,NLIC,14,5355,5100,5355,2494,12879385,5150,"205.00 
                                            
"
585,4/20/2014,Nepal Life Insurance Co. Ltd.,NLIC,10,5300,5200,5200,530,2758600,5355,"-155.00 
                                             
"
586,4/21/2014,Nepal Life Insurance Co. Ltd.,NLIC,15,5150,5130,5130,1070,5506250,5200,"-70.00 
                                             
"
587,4/22/2014,Nepal Life Insurance Co. Ltd.,NLIC,13,5232,5100,5232,1915,9849080,5130,"102.00 
                                            
"
588,4/23/2014,Nepal Life Insurance Co. Ltd.,NLIC,25,5420,5100,5400,12008,62141675,5232,"168.00 
                                            
"
589,4/27/2014,Nepal Life Insurance Co. Ltd.,NLIC,14,5550,5400,5550,1638,8973225,5400,"150.00 
                                            
"
590,4/28/2014,Nepal Life Insurance Co. Ltd.,NLIC,43,5755,5550,5650,4103,23145438,5550,"100.00 
                                            
"
591,4/29/2014,Nepal Life Insurance Co. Ltd.,NLIC,43,5725,5550,5670,5366,30326557,5650,"20.00 
                                            
"
592,4/30/2014,Nepal Life Insurance Co. Ltd.,NLIC,102,5760,5570,5650,13544,76358252,5670,"-20.00 
                                             
"
593,5/6/2014,Nepal Life Insurance Co. Ltd.,NLIC,16,3656,3390,3656,1496,5446786,5650,"-1994.00 
                                             
"
594,5/7/2014,Nepal Life Insurance Co. Ltd.,NLIC,37,4021,3729,4021,7821,31409479,3656,"365.00 
                                            
"
595,5/8/2014,Nepal Life Insurance Co. Ltd.,NLIC,33,4183,3900,3905,2079,8314895,4021,"-116.00 
                                             
"
596,5/11/2014,Nepal Life Insurance Co. Ltd.,NLIC,6,3910,3800,3800,225,866995,3905,"-105.00 
                                             
"
597,5/12/2014,Nepal Life Insurance Co. Ltd.,NLIC,12,4010,3870,3870,1020,3997770,3800,"70.00 
                                            
"
598,5/13/2014,Nepal Life Insurance Co. Ltd.,NLIC,15,3900,3800,3800,4273,16293600,3870,"-70.00 
                                             
"
599,5/15/2014,Nepal Life Insurance Co. Ltd.,NLIC,11,3800,3724,3798,855,3207460,3800,"-2.00 
                                             
"
600,5/18/2014,Nepal Life Insurance Co. Ltd.,NLIC,8,3873,3714,3873,560,2106800,3798,"75.00 
                                            
"
601,5/19/2014,Nepal Life Insurance Co. Ltd.,NLIC,9,3870,3724,3870,310,1166580,3873,"-3.00 
                                             
"
602,5/20/2014,Nepal Life Insurance Co. Ltd.,NLIC,10,3815,3685,3815,1293,4892765,3870,"-55.00 
                                             
"
603,5/21/2014,Nepal Life Insurance Co. Ltd.,NLIC,8,3817,3770,3817,907,3436122,3815,"2.00 
                                            
"
604,5/22/2014,Nepal Life Insurance Co. Ltd.,NLIC,6,3810,3750,3810,451,1698650,3817,"-7.00 
                                             
"
